Date,G0M910,A0M001,A0M005,A0M008,A0M033,A0M029,U0M019,A0M106,U0M107,U0M129,U0M083,A0M125,G0M920,G0M930,A0M043,A0M044
May-92,67,40.9,422.9,118747,27901,1084,407.41,5081.8,-0.414061952,3.75,70.5,0.0002,65.9,59.1,7.4,2.4
Jun-92,67.5,40.9,414,119132,28536,1086,414.81,5073.5,-1.234084667,3.57,71.2,0.2637,66,59,7.6,2.7
Jul-92,67.8,40.8,419,120876,28423,1087,408.27,5056.7,-0.906512754,3.5,70.7,0.1269,66.1,58.8,7.8,2.9
Aug-92,68,40.8,446.8,120270,28373,1119,415.05,5040.8,-0.852657752,3.59,67.6,-0.5288,66.3,58.7,7.7,2.8
Sep-92,68.4,40.8,403,119016,27922,1105,417.93,5041.4,-0.819780723,3.29,69.5,-0.5765,66.3,58.9,7.6,2.8
Oct-92,68.6,40.7,412.5,119087,29080,1145,418.48,5050.2,-0.496287837,3.2,67.4,-0.8419,66.3,58.9,7.6,2.7
Nov-92,68.7,40.8,372.7,117942,28271,1164,412.5,5052.3,0.922690043,3.49,67.5,-0.9067,66.4,58.9,7.3,2.7
Dec-92,69.3,40.9,362,119835,28925,1149,422.84,5046.4,0.053523695,3.78,78.2,-0.0466,66.6,59.2,7.4,2.6
Jan-93,70.3,40.9,336.4,121138,29496,1209,435.64,5035,-0.479692973,3.85,89.5,1.0483,67.3,59.1,7.4,2.8
Feb-93,70.6,41.1,346.9,120933,28406,1210,435.23,5014.5,-0.964379469,3.58,83.4,0.6526,67,59,7.3,2.6
Mar-93,71,41.1,338.4,121795,28280,1180,441.7,5000.2,-1.331452773,3.23,80.6,0.0686,67.2,59.1,7.1,2.5
Apr-93,71,40.8,351,122153,28186,1086,450.16,4985.9,-1.365419937,2.91,75.8,-0.302,67.1,59.3,7,2.4
May-93,71.5,41.4,349.2,120441,28779,1135,443.08,4972.1,-0.980027543,3.01,76.4,-0.2368,67.4,59.6,7.1,2.3
Jun-93,71.6,41,343.8,122071,28864,1143,445.25,4994,-0.702630235,3.04,68.5,-0.7473,67.4,59.7,7.1,2.4
Jul-93,71.8,40.9,340.4,123468,29276,1162,448.06,5000.2,-0.988180064,2.92,70.4,-0.7112,67.5,59.4,7,2.4
Aug-93,71.9,41.1,355.1,119897,29593,1207,447.29,4991.7,-1.185904055,2.75,64.7,-0.9082,67.7,60.1,6.9,2.4
Sep-93,72.4,41.1,341,120352,29870,1264,454.13,4988.6,-2.16028201,2.65,65.8,-1.0742,67.8,60.2,6.8,2.3
Oct-93,72.8,41.3,338.5,122787,29846,1286,459.24,4992.8,-1.588348573,2.27,66.8,-0.9054,67.9,60.4,6.7,2.4
Nov-93,73.1,41.3,354,124743,30766,1323,463.9,4983.6,-1.332881003,2.34,72.5,-0.7576,68.1,60.2,6.8,2.3
Dec-93,73.5,41.3,340.9,123931,30485,1395,462.89,4993.5,-1.126820797,2.7,70.3,-0.5701,68.3,60.2,6.6,2.3
Jan-94,74.5,41.4,324,125645,32701,1502,465.95,4998.6,-1.019027919,2.81,78.8,0.4022,69,60.4,6.5,2.3
Feb-94,74.4,41.4,363.7,126880,29948,1390,472.99,4997.6,-1.535781424,2.7,86.4,0.7704,68.8,60.4,6.6,2.3
Mar-94,74.6,40.9,348.5,127695,31357,1269,471.58,4987.2,-1.569906859,2.72,83.5,0.3937,69,60.4,6.6,2.4
Apr-94,75.7,41.7,334.1,129810,30941,1342,463.81,4979.8,-0.76971063,3.14,85.1,0.605,69.4,60.4,6.5,2.3
May-94,76.2,41.8,344.5,130308,32156,1392,447.23,4975.6,-0.016057338,3.41,82.6,0.5581,69.7,60.7,6.4,2.2
Jun-94,76.5,41.8,358.9,131370,31953,1396,450.9,4981.9,-0.149828359,3.17,84.2,0.6211,69.9,61,6.1,2.2
Jul-94,77.2,41.8,337.2,131231,33176,1357,454.83,4953.7,-0.477404653,2.85,82.7,0.5211,70.1,61.1,6.1,2.1
Aug-94,77.5,41.8,344.4,131628,32750,1335,451.4,4950.5,-0.858052902,3.04,78.5,0.2019,70.2,61.6,6.1,2.2
Sep-94,78.1,41.7,336.2,132572,32991,1377,464.24,4935.6,-1.177167971,2.77,80.8,0.2448,70.6,61.8,6,2.1
Oct-94,78.6,41.6,328,132343,32993,1412,466.96,4930.7,-0.680182975,2.73,83.5,0.233,70.8,62.1,5.9,2.1
Nov-94,79.1,41.8,334.1,133209,34196,1397,463.81,4919.8,0.057393496,2.98,85.1,0.3082,71.1,62.2,5.8,2.2
Dec-94,79.3,41.8,326.9,132839,34158,1340,461.01,4914.5,0.510633999,2.67,84.8,0.61,71.4,62.6,5.6,2
Jan-95,79.8,41.8,323.1,136117,34237,1396,455.19,4910.2,0.786114431,2.36,88.8,0.7759,71.7,62.9,5.5,1.9
Feb-95,80,41.8,333.3,135222,34895,1282,465.25,4908.8,-0.575720075,2.25,88.4,0.7675,71.9,63.3,5.6,1.8
Mar-95,79.9,41.7,341.2,134433,34021,1254,481.92,4896.6,-0.332712771,1.55,85.9,0.3173,72,63.7,5.4,1.8
Apr-95,79.9,41.5,339.3,133007,33918,1226,493.15,4889.2,-1.305899014,1.22,79.8,0.1874,72.1,64,5.4,1.7
May-95,79.8,41,353.8,132936,34344,1259,507.91,4887.7,-1.496903959,1.01,83.8,0.508,72.1,64.4,5.8,1.9
Jun-95,79.8,41.1,370.2,131133,35459,1271,523.81,4915.1,-0.834642126,0.62,80.1,0.2442,72.2,64.7,5.6,2
Jul-95,79.8,41.2,364.6,130886,35117,1305,539.35,4944.7,-1.119264509,0.17,84.1,0.1769,72.4,65.1,5.6,1.7
Aug-95,79.8,41.1,375.7,131312,33573,1354,557.37,4964.2,-1.002757064,0.43,87.4,0.3845,72.4,65.3,5.7,1.7
Sep-95,80.2,41.2,357.1,133128,34673,1386,559.11,4983.5,-1.277635833,0.75,86.1,0.5061,72.8,65.3,5.7,1.8
Oct-95,80.5,41.2,363.7,133379,36134,1421,578.77,4998.3,-1.391459839,0.4,78.8,0.1643,73,65.6,5.6,1.7
Nov-95,80.3,41.2,371.4,133530,36543,1400,582.92,5001,-0.236369703,0.28,80.8,0.2709,73.1,65.7,5.5,1.7
Dec-95,80.3,41.3,375.3,132436,36086,1430,595.53,5010.2,-1.094460216,0.13,79.7,0.3359,73.3,65.8,5.6,1.8
Jan-96,80.4,40.9,363,135277,37117,1442,614.57,5013.8,-0.452893213,0.11,83.7,0.3091,73.4,65.9,5.6,1.8
Feb-96,78.9,39.7,373.9,131466,34733,1387,614.42,5028,-0.143169148,0.09,78.7,-0.1954,73.3,66.2,5.6,1.8
Mar-96,79.8,41.3,375.9,127477,35614,1420,649.54,5039.3,-1.522275548,0.59,77.8,0.0817,73.8,66.1,5.5,1.7
Apr-96,80,41.1,391.2,133555,36046,1437,647.07,5058.7,-1.009758274,0.96,86.2,0.4849,73.9,66.1,5.5,1.8
May-96,80.4,41.2,359.2,135376,34806,1463,647.17,5058.3,-0.908963601,1.29,83,0.5273,74.2,66.2,5.6,1.8
Jun-96,81.1,41.4,345,137039,36518,1457,661.23,5065.8,-1.571083956,1.5,79.2,0.2403,74.5,66.3,5.6,1.8
Jul-96,81.6,41.5,342.8,139234,37251,1429,668.5,5083.4,-0.956911173,1.64,84,0.3471,74.8,66.4,5.3,1.8
Aug-96,81.5,41.4,336.7,139373,36884,1450,644.07,5092.7,0.286770003,1.47,86.5,0.5107,74.9,66.7,5.5,1.7
Sep-96,81.7,41.5,333.4,138271,36638,1413,662.68,5097.3,-0.855695229,1.42,87.3,0.6682,75.1,66.7,5.1,1.7
Oct-96,81.9,41.6,342.7,139841,36000,1392,674.88,5095.7,-0.974491993,1.53,90.1,0.6956,75.3,66.8,5.2,1.7
Nov-96,82.2,41.4,338.7,138595,37947,1358,701.45,5103.9,-0.437223867,1.29,89.9,0.703,75.5,66.9,5.2,1.7
Dec-96,82.7,41.5,336.8,139713,38080,1412,735.67,5120.6,-1.005889295,0.89,93.9,0.7287,75.8,67.1,5.4,1.6
Jan-97,82.8,41.7,353.5,137270,36680,1411,743.25,5142.2,-0.924316215,1.01,91.8,0.9293,76,67.3,5.4,1.6
Feb-97,83.3,41.4,335.7,139746,37461,1382,766.22,5154.7,-1.189111717,1.33,91.3,1.0633,76.2,67.4,5.3,1.6
Mar-97,84.4,41.6,317.7,142696,39167,1445,798.39,5159.6,-1.506567913,1.23,94.9,0.9435,76.7,67.2,5.2,1.6
Apr-97,84.8,41.8,318.9,142137,39102,1436,792.16,5174.3,-1.133461899,1.3,93.6,1.0686,77,67.4,5.2,1.6
May-97,84.9,41.8,331.5,144516,39743,1421,763.93,5190.7,-0.085095226,1.38,92.5,0.997,77.1,67.6,5.1,1.6
Jun-97,85.5,41.7,319.3,142749,39019,1414,833.09,5209,-0.700401681,1.21,96.6,1.3893,77.4,67.8,4.9,1.6
Jul-97,86,41.6,325.6,144057,40471,1402,876.29,5224.7,-0.875864763,0.93,98.9,1.4108,77.7,67.8,5,1.5
Aug-97,87,41.6,313.8,145766,42669,1440,925.29,5245.7,-0.933413082,0.7,102.6,1.4029,78.1,67.5,4.9,1.6
Sep-97,87.2,41.7,332.8,145315,42136,1449,927.74,5286.4,-1.153683126,0.76,100.3,1.4567,78.3,67.7,4.8,1.5
Oct-97,87.9,41.7,315.4,146633,43519,1494,937.02,5294.7,-0.776968437,0.67,100.7,1.4232,78.7,67.9,4.9,1.5
Nov-97,88.1,41.8,310.7,146329,41726,1499,951.16,5313.3,-0.070933121,0.53,102.8,1.4749,78.9,68,4.7,1.4
Dec-97,88.3,41.8,315.1,149357,42066,1469,938.92,5343,0.339717572,0.36,102.3,1.4731,79.4,68.3,4.6,1.3
Jan-98,88.6,42,313.1,147417,42412,1456,962.37,5368.5,0.184210023,0.31,96.1,1.582,79.6,68.4,4.7,1.4
Feb-98,88.6,41.9,323.4,145874,41257,1555,963.36,5396.9,-0.367376601,-0.02,102.2,1.4332,79.9,68.5,4.6,1.3
Mar-98,89.5,41.7,319.1,150047,43110,1647,1023.74,5443.3,-1.333715684,0.06,104.2,1.6916,80.3,68.7,4.6,1.3
Apr-98,89.6,41.6,314.9,148823,41852,1605,1076.83,5476.5,-0.924107348,0.16,101.9,1.6061,80.5,69.1,4.7,1.3
May-98,89.5,41.2,309.1,147158,40632,1547,1112.2,5504.1,-0.092162956,0.19,104.3,1.8586,80.7,69.3,4.3,1.1
Jun-98,90,41.5,313,149379,42631,1554,1108.42,5528.3,-0.036979446,0.16,101.7,1.6118,81,69.4,4.4,1.1
Jul-98,89.4,41.4,338,142675,42955,1551,1108.39,5559.4,0.250404105,-0.06,99.3,1.5973,81.1,69.8,4.5,1.2
Aug-98,89.6,41.4,324.1,142263,41215,1610,1156.58,5571.9,-0.039152678,-0.08,100,1.4522,81.1,70.1,4.5,1.1
Sep-98,89.7,41.4,309,147038,41994,1654,1074.63,5597.4,1.553113347,-0.21,98.3,1.2123,81.6,70.3,4.5,1.2
Oct-98,89.2,41.3,301.4,147250,43823,1577,1020.64,5652.3,2.608740916,-0.7,93.9,0.4713,81.8,70.4,4.6,1.2
Nov-98,88.7,41.4,312.8,148701,40930,1719,1032.47,5693,3.71380565,-0.54,87.5,0.0305,82.1,70.4,4.5,1.1
Dec-98,88.9,41.4,315.9,150333,42238,1672,1144.43,5743.9,1.254638472,0,94.3,0.8217,82.3,70.4,4.4,1.1
Jan-99,89.2,41.5,317.2,150205,44231,1742,1190.05,5776.3,1.478223326,-0.03,91.9,0.729,82.6,70.5,4.4,1.1
Feb-99,89,41.3,324.9,152069,41541,1732,1248.77,5802,-0.098632902,0.09,95.7,1.0164,82.7,70.9,4.3,1.1
Mar-99,89.6,41.4,301.2,153728,42539,1720,1246.58,5833.5,0.07481195,0.24,103.6,1.2434,83.1,71,4.4,1.1
Apr-99,89.6,41.3,302.7,151583,43355,1665,1281.66,5837.9,0.076451876,0.42,99,1.076,83.2,71.3,4.2,1.1
May-99,89.6,41.3,304.7,151834,42795,1600,1334.76,5848.7,0.055731832,0.44,97.4,1.1498,83.3,71.6,4.3,1.1
Jun-99,90.1,41.4,303,152185,43438,1640,1332.07,5877.7,-0.040841743,0.8,97.6,1.3335,83.7,71.7,4.2,1.1
Jul-99,90.4,41.3,290,151277,42942,1702,1322.55,5905.1,0.678485411,1.14,99.8,1.4031,83.8,71.6,4.3,1.2
Aug-99,90.7,41.4,300.9,151401,45178,1682,1380.99,5925.1,0.645382277,0.8,99.2,1.2605,84,72.2,4.3,1.1
Sep-99,90.9,41.5,290.5,153503,44929,1671,1327.49,5937.3,1.32083771,0.87,98.4,1.0997,84.3,72.5,4.2,1
Oct-99,90.8,41.4,294.3,152432,46020,1551,1318.17,5937.4,1.162053865,0.7,101.5,1.2278,84.3,72.9,4.2,1
Nov-99,91.2,41.4,285.8,155799,44594,1649,1300.01,5958.8,1.792128091,0.91,97.1,0.9461,84.8,72.9,4.1,1
Dec-99,91.7,41.4,281.8,153010,44851,1672,1391,5978.3,0.153209752,0.61,101,1.325,85.2,73.3,4.1,1
Jan-00,92.5,41.4,278.3,154722,47428,1683,1428.68,5999.6,-0.089254363,0.98,101.1,1.5427,85.6,73.5,4,1
Feb-00,93,41.5,289.3,158103,46292,1727,1425.59,6019.2,-0.373001316,1.21,108.6,2.0837,85.9,73.6,4,1
Mar-00,92.4,41.5,293.9,150235,42297,1692,1388.87,6017,-0.086788487,0.79,107.8,1.7707,85.9,74.3,4.1,0.9
Apr-00,93.3,41.4,269.7,154893,45984,1651,1442.21,6031,0.199915267,0.41,101.7,1.0673,86.3,74.2,4,0.9
May-00,93.4,41.6,272.9,156205,46508,1597,1461.36,6108.6,1.697541366,-0.03,103.7,1.4191,86.7,74.4,3.8,0.9
Jun-00,92.4,41.2,282.1,150887,45932,1543,1418.48,6088.2,2.530721554,0.17,104.8,1.652,86.7,74.6,4,0.9
Jul-00,92.7,41.3,288.9,152463,49202,1572,1461.96,6091.1,2.318094569,-0.43,100.8,1.3048,86.9,75.2,4,0.9
Aug-00,92.2,41.5,298.7,151488,45742,1542,1473,6098.9,1.53661579,-0.49,104.5,1.3181,86.9,75.3,4,0.9
Sep-00,91.6,41,311.5,148693,46589,1552,1485.46,6135.6,1.206240898,-0.67,104,1.4651,87,75.7,4.1,1
Oct-00,91.9,41.1,300.2,154198,47906,1570,1468.05,6154.6,1.248892417,-0.72,103.4,1.4744,87.2,76,3.9,0.9
Nov-00,91,41.1,301.1,149652,45708,1577,1390.14,6166.2,2.198017605,-0.77,100.7,1.0777,87.1,76.5,3.9,0.9
Dec-00,90.3,41.1,336,148405,44885,1614,1375.04,6172,1.801671647,-0.79,101.6,0.8083,87.1,77,3.9,0.9
1-Jan,88.9,40.4,348,149614,44842,1543,1330.93,6220.6,2.970701227,-1.16,90.7,0.373,87.2,76.8,3.9,0.9
1-Feb,88.3,40.6,340.2,144508,43496,1699,1335.63,6256.4,1.796333324,-0.82,86.4,-0.5591,87.1,75.8,4.2,1
1-Mar,87.3,40.5,373.3,146370,43573,1656,1305.75,6295.9,1.544630849,-0.39,80.8,-1.0862,87.2,75.7,4.2,1
1-Apr,86,40.5,387.9,144711,41652,1659,1185.85,6368.3,2.516397751,-0.42,83.9,-0.4744,87.1,75.7,4.3,1.1
1-May,85.1,40.4,396.9,141163,39228,1666,1189.84,6437.3,1.94664069,0.34,82.2,-0.6919,86.7,75.9,4.4,1
1-Jun,85.4,40.4,401,145264,40515,1665,1270.37,6416,0.592080118,1.18,85.4,-0.3161,86.7,75.9,4.3,1
1-Jul,84.9,40.3,395,143382,39648,1626,1238.71,6454.7,1.165440448,1.31,86.9,0.1842,86.4,75.9,4.5,1.1
1-Aug,84.7,40.6,398.1,143077,38114,1598,1204.45,6494.4,1.012536249,1.47,88.4,0.1819,86.3,76,4.6,1.2
1-Sep,84.5,40.3,398.2,144058,38665,1615,1178.5,6537.3,0.947020236,1.32,85.2,0.0883,86.3,75.8,4.9,1.3
1-Oct,83,40.2,443,138798,36188,1565,1044.64,6698.6,1.952880709,1.66,73.5,-1.0519,86,76,5,1.4
1-Nov,82.4,40.1,480.8,139172,35704,1566,1076.59,6660.1,1.042073926,2.08,75.5,-1.0804,86,75.5,5.3,1.4
1-Dec,82.9,40.1,453.9,140424,36826,1651,1129.68,6718.8,0.447931236,2.56,76.6,-0.9078,85.8,75.4,5.5,1.6
2-Jan,83.5,40.2,404.9,141112,36741,1680,1144.93,6792.4,0.530622555,3.27,82.3,-0.1385,85.8,75.3,5.7,1.7
2-Feb,83.5,40.1,410.3,143103,34177,1665,1140.21,6812.8,0.391223411,3.31,91.3,0.5619,85.8,75.2,5.7,1.8
2-Mar,84.3,40.3,396.1,143292,36145,1787,1100.67,6838.3,0.301750471,3.17,87.2,0.2691,85.8,75.3,5.7,1.8
2-Apr,84.6,40.5,421,142664,33982,1691,1153.79,6834.3,-0.48718866,3.55,92.7,1.0742,85.8,75.3,5.7,1.9
2-May,85.3,40.6,429,146436,35868,1669,1112.03,6805,0.070211299,3.46,89.1,0.978,86,75,5.9,2
2-Jun,86,40.6,401.4,146778,36408,1716,1079.27,6832.3,0.067643553,3.41,92.7,1.0184,86.1,75,5.8,2
2-Jul,86.3,40.7,389.2,145867,35066,1758,1014.05,6854.9,0.188286509,3.18,87.9,0.8082,86.3,75,5.8,2.1
2-Aug,85.9,40.4,386.2,146566,35685,1738,903.59,6893.8,0.853457673,2.92,81,0.1002,86.1,75.4,5.8,2
2-Sep,86,40.5,395.2,145764,36851,1695,912.55,6933.4,0.218947091,2.52,80.6,0.1572,86.2,75.4,5.7,2
2-Oct,85.7,40.5,409.4,144102,34596,1803,867.81,6951.1,0.48270256,2.12,79.9,0.2507,86.1,75.3,5.7,2
2-Nov,85.6,40.3,407.5,145050,35277,1799,854.63,6993.1,0.359875048,2.19,73.1,-0.69,86.1,75.3,5.7,2.1
2-Dec,86.1,40.4,389.1,145269,35698,1771,909.93,7047.6,-0.111506521,2.71,78.5,-0.0694,86.3,75.2,5.9,2.1
3-Jan,86.1,40.5,414.4,140631,35118,1896,899.18,7067.6,-0.062490991,2.79,80.8,-0.0455,86.2,75.4,6,2.3
3-Feb,86.3,40.3,400,143802,35177,1808,895.84,7088.3,0.163399069,2.81,72.8,-0.6458,86.3,75.4,5.8,2.2
3-Mar,86,40.3,416.7,145503,35344,1854,837.62,7104.5,0.103680468,2.64,69.9,-1.3862,86.1,75.7,5.9,2.2
3-Apr,85.9,40.4,425.1,144471,37022,1757,846.62,7113.6,-0.615147762,2.56,69.6,-1.6199,86.1,75.9,5.9,2.2
3-May,85.6,40.1,438.7,140743,35370,1803,890.03,7173.1,-1.025946055,2.7,79.3,-0.3267,86.1,75.7,6,2.3
3-Jun,86.5,40.2,422.9,141936,36529,1835,935.96,7256.1,-1.971924047,2.31,91.4,0.6694,86.3,75.8,6.1,2.3
3-Jul,87.2,40.3,421.8,144881,35851,1875,988,7294,-1.971327964,2.11,86.4,0.5662,86.5,75.5,6.3,2.4
3-Aug,87.6,40.1,403.5,145815,35443,1885,992.54,7330.1,-0.841348407,2.97,83.7,0.1448,86.6,75.5,6.2,2.5
3-Sep,88.2,40.2,399.8,143950,36111,1966,989.53,7377,-0.199413707,3.42,82.5,0.4128,86.6,75.6,6.1,2.4
3-Oct,89.2,40.5,395.4,146945,37229,1961,1019.44,7321.3,-0.840387464,3.26,80.8,-0.0001,86.8,75.6,6.1,2.4
3-Nov,90.1,40.6,376.1,149611,36491,2012,1038.73,7310.8,-0.879857921,3.28,83,0.36,87,75.7,6,2.4
3-Dec,91.1,40.9,363,148841,37370,1918,1049.9,7308,-1.38827879,3.3,88.1,0.9855,87.3,75.5,5.8,2.3
4-Jan,91.9,40.7,358.5,145070,38117,1987,1080.64,7288.6,-1.388375912,3.29,89.8,1.223,87.3,75.7,5.7,2.3
4-Feb,92.8,40.9,361.2,144871,35799,1952,1132.52,7268.4,-2.049798251,3.15,100.1,1.4628,87.2,75.9,5.7,2.3
4-Mar,93.6,41,360.7,144069,36605,1966,1143.36,7297.9,-1.625791711,3.07,88.5,0.4972,87.4,75.7,5.6,2.2
4-Apr,94.9,40.9,342.2,149594,39170,2066,1123.98,7328.6,-1.363628424,2.83,88.8,0.4515,87.8,75.7,5.8,2.3
4-May,95.1,40.7,345.8,145927,37031,2070,1133.08,7364.2,-1.62525722,3.35,87.3,0.5454,87.9,75.8,5.6,2
4-Jun,96,41.1,339.4,146135,37167,2150,1102.63,7431.2,-0.346629908,3.72,81.6,0.3534,88.2,75.9,5.6,2.1
4-Jul,96.4,40.8,342.1,146347,37580,2020,1132.76,7412.5,-1.014470617,3.7,88.5,0.6843,88.2,76.3,5.6,2.1
4-Aug,96.8,40.8,347,143080,37977,2112,1105.85,7421.4,-0.990287263,3.24,91.2,0.9865,88.4,76.8,5.5,2
4-Sep,97.3,40.8,340.4,146431,36610,2056,1088.94,7448.1,-1.107950735,2.85,88.2,0.5314,88.6,77.1,5.4,1.9
4-Oct,98,40.7,339.6,143962,39569,2041,1117.66,7474.2,-1.3901073,2.52,88,0.5687,88.7,77.1,5.4,2
4-Nov,98.2,40.6,333.8,144687,37832,2097,1118.07,7475.5,-0.70054849,2.34,83.8,0.3794,89,77.2,5.5,2.1
4-Dec,99,40.5,328.9,146850,38738,2079,1168.94,7478,-1.177744444,2.26,85.2,0.3224,89,77.3,5.4,2
5-Jan,99.9,40.6,328.6,148481,39519,2082,1199.21,7496,-0.955512079,2.07,90.9,0.8695,90,76.9,5.4,2
5-Feb,100.4,40.7,340.3,149204,40281,2139,1181.41,7493.6,-0.720251276,1.94,85.7,0.7001,89.6,77.6,5.3,1.9
5-Mar,100.9,40.6,311.7,148966,40070,2114,1199.63,7482.8,-1.307770359,1.67,84.4,0.5312,89.8,77.8,5.4,2
5-Apr,100.4,40.4,332.5,145119,39262,2062,1194.9,7471.8,-1.189771155,1.87,82.8,0.3709,89.8,78.1,5.2,1.9
5-May,101,40.4,320.4,149979,40234,2150,1164.62,7468.3,-0.15652273,1.55,77,-0.0193,90.1,78.3,5.2,1.8
5-Jun,100.8,40.4,327.1,149095,39410,2085,1178.28,7484.7,-0.590674251,1.14,75.3,0.065,90.3,78.6,5.1,1.8
5-Jul,101.6,40.4,322.9,152107,40735,2178,1202.26,7518,-1.079151751,0.96,85,0.3906,90.6,78.7,5,1.6
5-Aug,101.6,40.5,324,147740,39701,2203,1222.24,7522.8,-1.265419908,0.92,85.5,0.32,90.7,79,5,1.6
5-Sep,102.2,40.5,315.7,152076,41593,2219,1224.27,7530.3,-0.533938164,0.76,76.9,0.1313,90.9,79.2,4.9,1.7
5-Oct,101.5,40.7,397.2,153172,40154,2263,1225.91,7497.5,-0.483904833,0.58,63.3,-1.4517,90.5,79.4,5,1.7
5-Nov,102,41,344.3,152891,41151,2170,1191.96,7524.8,0.274469141,0.68,63.2,-1.3729,90.9,79.8,5,1.7
5-Dec,102.5,40.9,316.1,153049,41696,2218,1237.37,7559.7,-0.358260248,0.54,69.6,-0.33,91.5,80,5,1.7
6-Jan,102.6,40.8,315.1,153263,42256,2120,1262.07,7590.1,0.078256337,0.31,80.2,0.2385,91.8,80.1,4.9,1.6
6-Feb,103.3,41,295.6,154230,42934,2212,1278.72,7601.5,-0.826158041,0.13,78.9,0.0997,92.1,80.8,4.7,1.5
6-Mar,103.3,41.1,294.3,154088,42871,2141,1276.65,7625.2,-0.567098292,0.08,74.5,-0.1954,92.4,80.8,4.8,1.7
6-Apr,103.5,41.1,299,154537,44495,2118,1293.74,7628.7,-0.771966853,0.13,76,-0.0411,92.6,81,4.7,1.6
6-May,103,41.3,306.6,150850,43160,1998,1302.18,7638,-0.379098585,0.2,73.4,-0.1645,92.6,81.2,4.7,1.6
6-Jun,102.4,41.2,332.6,150905,43666,1905,1290,7626.6,0.124352134,0.17,68.2,-0.616,92.7,81.4,4.6,1.5
6-Jul,102.3,41.2,307.7,151204,43237,1867,1253.12,7650.8,0.4645309,0.12,72,-0.3911,92.8,81.7,4.6,1.4
6-Aug,101.8,41.4,319.6,146873,43663,1763,1260.24,7670.1,-0.101212271,-0.15,72.5,-0.365,92.8,81.7,4.7,1.5
6-Sep,101.5,41.2,313.6,148167,43765,1722,1278.72,7680.1,-0.118563125,-0.37,68,-0.7434,92.9,81.8,4.7,1.5
